dataset,dx,mean,std,roi
ADNI1,control_alzheimer,2.6895822676433756,0.8879523022242493,Left bankssts 1
ADNI1,control_alzheimer,2.6728397300484863,0.9509011892382425,Left bankssts 2
ADNI1,control_alzheimer,2.383671379180957,0.9614162284374883,Left caudalanteriorcingulate 1
ADNI1,control_alzheimer,2.708275309880215,0.909160192160703,Left caudalmiddlefrontal 1
ADNI1,control_alzheimer,2.51862560708501,0.9826318561237295,Left caudalmiddlefrontal 2
ADNI1,control_alzheimer,2.65944335883709,0.9216718738825177,Left caudalmiddlefrontal 3
ADNI1,control_alzheimer,1.829365144084834,0.8935192556806901,Left cuneus 1
ADNI1,control_alzheimer,3.5743476172435162,0.7566117395933976,Left entorhinal 1
ADNI1,control_alzheimer,2.5518905347462306,0.9496028742386078,Left fusiform 1
ADNI1,control_alzheimer,2.703502438643225,0.9098581484804589,Left fusiform 2
ADNI1,control_alzheimer,2.9095520519830256,0.895548490240023,Left fusiform 3
ADNI1,control_alzheimer,3.0161344945364816,0.819731359277016,Left fusiform 4
ADNI1,control_alzheimer,2.5495169414944296,0.92356911156092,Left inferiorparietal 1
ADNI1,control_alzheimer,2.4508505810085452,0.9834711743033943,Left inferiorparietal 2
ADNI1,control_alzheimer,2.5621457053208703,0.9387428530241099,Left inferiorparietal 3
ADNI1,control_alzheimer,2.618705981617878,0.9202109647723448,Left inferiorparietal 4
ADNI1,control_alzheimer,2.6255736068093696,0.9867112569564339,Left inferiorparietal 5
ADNI1,control_alzheimer,3.2535246122658834,0.762411308472927,Left inferiortemporal 1
ADNI1,control_alzheimer,2.8793440342285876,0.7772402008283903,Left inferiortemporal 2
ADNI1,control_alzheimer,2.8640603900276917,0.8284351794639011,Left inferiortemporal 3
ADNI1,control_alzheimer,2.74582019153185,0.8518059791465685,Left inferiortemporal 4
ADNI1,control_alzheimer,2.6523547379146266,0.8721769256271101,Left isthmuscingulate 1
ADNI1,control_alzheimer,2.0502772701640373,0.8338671640103417,Left lateraloccipital 1
ADNI1,control_alzheimer,1.8920028582051365,0.8933461727850025,Left lateraloccipital 2
ADNI1,control_alzheimer,2.0953933928541346,0.9675430504420065,Left lateraloccipital 3
ADNI1,control_alzheimer,2.439832035863441,0.9189312973515956,Left lateraloccipital 4
ADNI1,control_alzheimer,2.150899155282941,0.8938013178770615,Left lateraloccipital 5
ADNI1,control_alzheimer,2.6440878378362727,0.8980865021686941,Left lateralorbitofrontal 1
ADNI1,control_alzheimer,2.770967443319605,0.8580537955264905,Left lateralorbitofrontal 2
ADNI1,control_alzheimer,2.5708507141792705,0.8950366833651549,Left lateralorbitofrontal 3
ADNI1,control_alzheimer,2.6131380476553723,0.8999284546876022,Left lateralorbitofrontal 4
ADNI1,control_alzheimer,1.9208836458567802,0.8542456424717286,Left lingual 1
ADNI1,control_alzheimer,1.945943844127842,0.8375657859585204,Left lingual 2
ADNI1,control_alzheimer,1.7111004003087569,0.801410956069208,Left lingual 3
ADNI1,control_alzheimer,2.2736260859097097,0.9894292697056176,Left lingual 4
ADNI1,control_alzheimer,2.4595684845462285,0.866951608177618,Left medialorbitofrontal 1
ADNI1,control_alzheimer,2.4846705069865473,0.8293967500484125,Left medialorbitofrontal 2
ADNI1,control_alzheimer,2.8117844011487856,0.9204186017435341,Left middletemporal 1
ADNI1,control_alzheimer,2.8660069176925616,0.9150673641650295,Left middletemporal 2
ADNI1,control_alzheimer,3.0621315456253404,0.7402325962621559,Left middletemporal 3
ADNI1,control_alzheimer,3.314712791520306,0.7471976122068674,Left middletemporal 4
ADNI1,control_alzheimer,3.077807007906326,0.9946376066621208,Left parahippocampal 1
ADNI1,control_alzheimer,2.241897163225669,0.947718572560517,Left paracentral 1
ADNI1,control_alzheimer,2.4517534575768707,1.0005898010570224,Left paracentral 2
ADNI1,control_alzheimer,2.5193113841528865,0.9798197097844182,Left parsopercularis 1
ADNI1,control_alzheimer,2.555935253370871,1.0162392553640451,Left parsopercularis 2
ADNI1,control_alzheimer,2.756218825323147,0.8954628769367892,Left parsorbitalis 1
ADNI1,control_alzheimer,2.4960891405827503,0.9888126398471102,Left parstriangularis 1
ADNI1,control_alzheimer,1.5994471212287864,0.7170940995699854,Left pericalcarine 1
ADNI1,control_alzheimer,1.8956344827027412,1.0701168831062635,Left postcentral 1
ADNI1,control_alzheimer,1.7239929139271344,0.9922653658280575,Left postcentral 2
ADNI1,control_alzheimer,2.1260326224816635,1.1019904452523779,Left postcentral 3
ADNI1,control_alzheimer,1.8234344524099553,1.039767027997301,Left postcentral 4
ADNI1,control_alzheimer,2.0803934840320024,1.0824658970896488,Left postcentral 5
ADNI1,control_alzheimer,1.9333053629612267,0.9682300602667961,Left postcentral 6
ADNI1,control_alzheimer,2.589278387307028,0.973747801940564,Left postcentral 7
ADNI1,control_alzheimer,2.2427778899087567,0.733092053798571,Left posteriorcingulate 1
ADNI1,control_alzheimer,2.671130829976673,0.8949162910059337,Left posteriorcingulate 2
ADNI1,control_alzheimer,2.1721462165709755,1.0605802879581225,Left precentral 1
ADNI1,control_alzheimer,2.440528603710021,1.0643976174739247,Left precentral 2
ADNI1,control_alzheimer,2.385591419000776,1.0569857151449316,Left precentral 3
ADNI1,control_alzheimer,2.2855152673120673,1.0179163665552071,Left precentral 4
ADNI1,control_alzheimer,2.5239314075458124,0.9900567851966113,Left precentral 5
ADNI1,control_alzheimer,2.2992243301347823,0.9094957089571832,Left precentral 6
ADNI1,control_alzheimer,2.648742561333964,0.9525247890657396,Left precentral 7
ADNI1,control_alzheimer,2.5069662808033852,0.9244460406518029,Left precentral 8
ADNI1,control_alzheimer,2.3161333567456985,1.0530684520593563,Left precuneus 1
ADNI1,control_alzheimer,2.4997540901264528,0.9928832066347333,Left precuneus 2
ADNI1,control_alzheimer,2.529784335376964,0.9045693335360689,Left precuneus 3
ADNI1,control_alzheimer,2.4545131715343267,0.9138818218130984,Left precuneus 4
ADNI1,control_alzheimer,2.4099773980188886,0.8816573414381126,Left precuneus 5
ADNI1,control_alzheimer,2.7721581835167735,0.8604603426861823,Left rostralanteriorcingulate 1
ADNI1,control_alzheimer,2.4928024013834675,0.9515737748446782,Left rostralmiddlefrontal 1
ADNI1,control_alzheimer,2.519497935470813,0.9216431329974125,Left rostralmiddlefrontal 2
ADNI1,control_alzheimer,2.4450515691744164,0.931534115747511,Left rostralmiddlefrontal 3
ADNI1,control_alzheimer,2.5455816219580694,0.8859700541558604,Left rostralmiddlefrontal 4
ADNI1,control_alzheimer,2.4844030752708646,0.930689789398716,Left rostralmiddlefrontal 5
ADNI1,control_alzheimer,2.4551461878090506,0.90757519293481,Left rostralmiddlefrontal 6
ADNI1,control_alzheimer,2.7198155812740104,0.8686702150506976,Left superiorfrontal 1
ADNI1,control_alzheimer,2.7773578270940855,0.8434870970817961,Left superiorfrontal 2
ADNI1,control_alzheimer,2.8470888679267974,0.8159743021928608,Left superiorfrontal 3
ADNI1,control_alzheimer,2.8447894832894076,0.9317459129959872,Left superiorfrontal 4
ADNI1,control_alzheimer,2.781397400300279,0.8959517606812617,Left superiorfrontal 5
ADNI1,control_alzheimer,2.6384759895875707,0.9362053047520608,Left superiorfrontal 6
ADNI1,control_alzheimer,2.683936056727637,0.8867179809985029,Left superiorfrontal 7
ADNI1,control_alzheimer,2.6399021041892072,0.8982769850516856,Left superiorfrontal 8
ADNI1,control_alzheimer,2.5722690527062877,0.8634070292129254,Left superiorfrontal 9
ADNI1,control_alzheimer,2.229932066385108,1.1336748730431259,Left superiorparietal 1
ADNI1,control_alzheimer,2.294374586908038,0.9633215019799866,Left superiorparietal 2
ADNI1,control_alzheimer,2.3488910023022576,0.9720472423938028,Left superiorparietal 3
ADNI1,control_alzheimer,2.3357895236208757,1.030428035638246,Left superiorparietal 4
ADNI1,control_alzheimer,2.3238761854312493,0.969823713408173,Left superiorparietal 5
ADNI1,control_alzheimer,2.0820517657608715,0.9822917848401498,Left superiorparietal 6
ADNI1,control_alzheimer,2.2170937501006565,0.9444106450388623,Left superiorparietal 7
ADNI1,control_alzheimer,2.662273757894158,0.9144110373902424,Left superiortemporal 1
ADNI1,control_alzheimer,2.639684359524558,1.030823550404539,Left superiortemporal 2
ADNI1,control_alzheimer,2.7041834260749735,0.9171639049919812,Left superiortemporal 3
ADNI1,control_alzheimer,2.7456598328480513,0.9245400218480894,Left superiortemporal 4
ADNI1,control_alzheimer,3.2087349884579974,0.7704983433797203,Left superiortemporal 5
ADNI1,control_alzheimer,2.6546141227160667,1.0863866506421065,Left supramarginal 1
ADNI1,control_alzheimer,2.5333543808934653,0.9681158977555517,Left supramarginal 2
ADNI1,control_alzheimer,2.615785103642175,1.0086735215878129,Left supramarginal 3
ADNI1,control_alzheimer,2.7208819439478615,0.9527792090608225,Left supramarginal 4
ADNI1,control_alzheimer,2.561888503844254,0.912338140744677,Left supramarginal 5
ADNI1,control_alzheimer,2.7275444929407353,0.8981374781120921,Left frontalpole 1
ADNI1,control_alzheimer,3.6467871926988753,0.7623100256938028,Left temporalpole 1
ADNI1,control_alzheimer,2.328725736151845,1.0208385343215605,Left transversetemporal 1
ADNI1,control_alzheimer,2.7083665619546498,0.9184562439616645,Left insula 1
ADNI1,control_alzheimer,3.0861778210373685,0.8099439946875704,Left insula 2
ADNI1,control_alzheimer,3.3913705514103416,0.7971396520523477,Left insula 3
ADNI1,control_alzheimer,2.722248688237433,0.8437354935723037,Left insula 4
ADNI1,control_alzheimer,2.7601325457797232,0.9069089404440777,Right bankssts 1
ADNI1,control_alzheimer,2.2770885932785947,1.015174231291341,Right caudalanteriorcingulate 1
ADNI1,control_alzheimer,2.5733567049191075,1.0201405415743574,Right caudalmiddlefrontal 1
ADNI1,control_alzheimer,2.420159181300513,0.9705967325549367,Right caudalmiddlefrontal 2
ADNI1,control_alzheimer,2.7165177136372773,0.917816835656557,Right caudalmiddlefrontal 3
ADNI1,control_alzheimer,1.886500337103105,0.8883348203514666,Right cuneus 1
ADNI1,control_alzheimer,1.8949261048893473,0.9144973578844418,Right cuneus 2
ADNI1,control_alzheimer,3.6083138183461227,0.6956522393247593,Right entorhinal 1
ADNI1,control_alzheimer,2.504715091952087,0.8421416369753794,Right fusiform 1
ADNI1,control_alzheimer,2.844244099118062,0.8729707202324601,Right fusiform 2
ADNI1,control_alzheimer,2.982195450276095,0.828132677083375,Right fusiform 3
ADNI1,control_alzheimer,3.0618585481047966,0.9108204562443708,Right fusiform 4
ADNI1,control_alzheimer,2.6077383349454695,0.9195274530243533,Right inferiorparietal 1
ADNI1,control_alzheimer,2.696885820041334,0.8866559191109831,Right inferiorparietal 2
ADNI1,control_alzheimer,2.575238094996013,0.9225243558043478,Right inferiorparietal 3
ADNI1,control_alzheimer,2.6202053965188425,0.8521810211808674,Right inferiorparietal 4
ADNI1,control_alzheimer,2.6098126864755313,0.8874998630065865,Right inferiorparietal 5
ADNI1,control_alzheimer,2.586087310464711,0.8718530722797766,Right inferiorparietal 6
ADNI1,control_alzheimer,3.132171737456057,0.7778297163207435,Right inferiortemporal 1
ADNI1,control_alzheimer,2.908005219237705,0.8694589475433508,Right inferiortemporal 2
ADNI1,control_alzheimer,2.779983964770136,0.8881846787290321,Right inferiortemporal 3
ADNI1,control_alzheimer,2.7705901638778165,0.8547096010774855,Right inferiortemporal 4
ADNI1,control_alzheimer,2.672776218929555,0.9419441547843408,Right isthmuscingulate 1
ADNI1,control_alzheimer,2.0305068754340034,0.8562063478787939,Right lateraloccipital 1
ADNI1,control_alzheimer,2.196316168106114,0.9301734120090931,Right lateraloccipital 2
ADNI1,control_alzheimer,2.041109376768096,0.8616428918805628,Right lateraloccipital 3
ADNI1,control_alzheimer,2.3403963886899937,0.8277592992400089,Right lateraloccipital 4
ADNI1,control_alzheimer,2.411320736421085,0.9156247552457879,Right lateraloccipital 5
ADNI1,control_alzheimer,2.5714470457658165,0.7633522216760426,Right lateralorbitofrontal 1
ADNI1,control_alzheimer,2.758391557713046,0.8994164596023115,Right lateralorbitofrontal 2
ADNI1,control_alzheimer,2.5200521529532316,0.8023342480203645,Right lateralorbitofrontal 3
ADNI1,control_alzheimer,2.6367920628281913,0.8647724389152532,Right lateralorbitofrontal 4
ADNI1,control_alzheimer,1.960481474128251,0.8357003978154284,Right lingual 1
ADNI1,control_alzheimer,1.890657236908389,0.8400187545766558,Right lingual 2
