dataset,dx,mean,std,roi
B-SNIP,control_schizophrenia,2.62594308906454,0.84559183842468,Left bankssts 1
B-SNIP,control_schizophrenia,2.5657041291333997,0.9750800746444676,Left bankssts 2
B-SNIP,control_schizophrenia,2.5238290613180117,0.8495007207568265,Left bankssts 3
B-SNIP,control_schizophrenia,2.4860341758069757,0.9687844349366277,Left caudalanteriorcingulate 1
B-SNIP,control_schizophrenia,2.46451484342812,0.9975551096242307,Left caudalanteriorcingulate 2
B-SNIP,control_schizophrenia,2.5802725864029243,0.8531030951962172,Left caudalmiddlefrontal 1
B-SNIP,control_schizophrenia,2.600548982198834,0.9232519525894327,Left caudalmiddlefrontal 2
B-SNIP,control_schizophrenia,2.4660209037729266,0.866513622797462,Left caudalmiddlefrontal 3
B-SNIP,control_schizophrenia,2.471017123088338,0.9855931776966183,Left caudalmiddlefrontal 4
B-SNIP,control_schizophrenia,2.6485341616155855,0.9065377251276531,Left caudalmiddlefrontal 5
B-SNIP,control_schizophrenia,2.608057563840751,0.9556217758940605,Left caudalmiddlefrontal 6
B-SNIP,control_schizophrenia,2.1029445332791967,0.9076841490508408,Left cuneus 1
B-SNIP,control_schizophrenia,1.8555854158998786,0.9651000995032494,Left cuneus 2
B-SNIP,control_schizophrenia,1.8070149537617564,1.0184100116925394,Left cuneus 3
B-SNIP,control_schizophrenia,3.1690844504522158,0.951188313401965,Left entorhinal 1
B-SNIP,control_schizophrenia,2.6216845957868937,0.9612943769076397,Left fusiform 1
B-SNIP,control_schizophrenia,2.3512355604082043,0.9113496325040567,Left fusiform 2
B-SNIP,control_schizophrenia,2.668845375810925,0.9325248551083342,Left fusiform 3
B-SNIP,control_schizophrenia,2.693581148389713,1.043561482157104,Left fusiform 4
B-SNIP,control_schizophrenia,2.7286315724320103,0.9582258437045649,Left fusiform 5
B-SNIP,control_schizophrenia,2.8055096064700544,1.0794114441477691,Left fusiform 6
B-SNIP,control_schizophrenia,2.7087909583681054,1.167091434951008,Left fusiform 7
B-SNIP,control_schizophrenia,3.0074606838824773,1.1625428306954726,Left fusiform 8
B-SNIP,control_schizophrenia,2.39849982567157,0.9464072515539138,Left inferiorparietal 1
B-SNIP,control_schizophrenia,2.657331941148814,0.8583767592979961,Left inferiorparietal 2
B-SNIP,control_schizophrenia,2.480344631139396,0.9891826924903685,Left inferiorparietal 3
B-SNIP,control_schizophrenia,2.464297950510766,0.948320610397404,Left inferiorparietal 4
B-SNIP,control_schizophrenia,2.439448352028609,0.9002529124913643,Left inferiorparietal 5
B-SNIP,control_schizophrenia,2.474195019396583,0.915633202335947,Left inferiorparietal 6
B-SNIP,control_schizophrenia,2.5601936525845197,0.910038664752501,Left inferiorparietal 7
B-SNIP,control_schizophrenia,2.272854179129181,0.9307079754524765,Left inferiorparietal 8
B-SNIP,control_schizophrenia,2.3776073128253614,0.9228280517913526,Left inferiorparietal 9
B-SNIP,control_schizophrenia,2.550029591897299,0.9669910993643567,Left inferiorparietal 10
B-SNIP,control_schizophrenia,3.12884289553172,0.967705032568212,Left inferiortemporal 1
B-SNIP,control_schizophrenia,2.89602693120498,1.1097311443186202,Left inferiortemporal 2
B-SNIP,control_schizophrenia,2.7852678754331537,1.135648813426322,Left inferiortemporal 3
B-SNIP,control_schizophrenia,2.78518751849173,1.014673793735442,Left inferiortemporal 4
B-SNIP,control_schizophrenia,2.701005463348234,1.071371652811632,Left inferiortemporal 5
B-SNIP,control_schizophrenia,2.598779076031806,1.1205827976702722,Left inferiortemporal 6
B-SNIP,control_schizophrenia,2.669374763106178,1.0610408400412863,Left inferiortemporal 7
B-SNIP,control_schizophrenia,2.6341383989934446,0.9649015201609963,Left inferiortemporal 8
B-SNIP,control_schizophrenia,2.11511848776416,0.9725153513051299,Left isthmuscingulate 1
B-SNIP,control_schizophrenia,2.678687600026578,0.884731612821076,Left isthmuscingulate 2
B-SNIP,control_schizophrenia,2.761634457287634,0.9968056362092477,Left isthmuscingulate 3
B-SNIP,control_schizophrenia,2.0831034134358615,0.9106782341433262,Left lateraloccipital 1
B-SNIP,control_schizophrenia,2.2102732589809158,0.8776174590993677,Left lateraloccipital 2
B-SNIP,control_schizophrenia,1.95653846327447,0.9977456173230645,Left lateraloccipital 3
B-SNIP,control_schizophrenia,1.8995603270904433,1.0489332483915426,Left lateraloccipital 4
B-SNIP,control_schizophrenia,1.984057443445503,0.9983449004562714,Left lateraloccipital 5
B-SNIP,control_schizophrenia,2.271991555742141,0.8684719114646011,Left lateraloccipital 6
B-SNIP,control_schizophrenia,2.466210138919211,0.9330301675838979,Left lateraloccipital 7
B-SNIP,control_schizophrenia,2.4383658078893182,0.9511316977509129,Left lateraloccipital 8
B-SNIP,control_schizophrenia,2.414283521310215,0.9846530616103436,Left lateraloccipital 9
B-SNIP,control_schizophrenia,2.5410877319479255,0.9181236139328296,Left lateraloccipital 10
B-SNIP,control_schizophrenia,2.089674249876626,0.9741137908655749,Left lateraloccipital 11
