dataset,dx,mean,std,roi
B-SNIP,control_schizophrenia,2.595431709882459,0.8225465702144759,Left bankssts 1
B-SNIP,control_schizophrenia,2.5758670557158627,0.9798502295698203,Left bankssts 2
B-SNIP,control_schizophrenia,2.482927611122958,0.989968295599172,Left caudalanteriorcingulate 1
B-SNIP,control_schizophrenia,2.6039883055235804,0.8883339094688767,Left caudalmiddlefrontal 1
B-SNIP,control_schizophrenia,2.495113553735501,0.897098132049055,Left caudalmiddlefrontal 2
B-SNIP,control_schizophrenia,2.6543963337572225,0.8902478862713394,Left caudalmiddlefrontal 3
B-SNIP,control_schizophrenia,1.9613189075053952,0.9126787164469172,Left cuneus 1
B-SNIP,control_schizophrenia,3.1846895961070483,0.9447242813481147,Left entorhinal 1
B-SNIP,control_schizophrenia,2.502536078099308,0.9001435591597267,Left fusiform 1
B-SNIP,control_schizophrenia,2.7118070890109487,0.9973216137015265,Left fusiform 2
B-SNIP,control_schizophrenia,2.7995463625238672,1.0205006813757926,Left fusiform 3
B-SNIP,control_schizophrenia,2.8724181173593695,1.211169074547634,Left fusiform 4
B-SNIP,control_schizophrenia,2.553807541665532,0.8772053241164572,Left inferiorparietal 1
B-SNIP,control_schizophrenia,2.4958188920765725,0.945703844167096,Left inferiorparietal 2
B-SNIP,control_schizophrenia,2.4882439080294705,0.864841103954662,Left inferiorparietal 3
B-SNIP,control_schizophrenia,2.4698861579130336,0.8894824284070555,Left inferiorparietal 4
B-SNIP,control_schizophrenia,2.470749298659734,0.9371068179608321,Left inferiorparietal 5
B-SNIP,control_schizophrenia,3.045704042470872,1.0819062932382246,Left inferiortemporal 1
B-SNIP,control_schizophrenia,2.811887582431267,1.107223674358222,Left inferiortemporal 2
B-SNIP,control_schizophrenia,2.6754729744610657,1.1375140832610768,Left inferiortemporal 3
B-SNIP,control_schizophrenia,2.6776510851354467,1.020229152987675,Left inferiortemporal 4
B-SNIP,control_schizophrenia,2.595264690932009,0.9847998995606855,Left isthmuscingulate 1
B-SNIP,control_schizophrenia,2.1529037703598375,0.8577000552630373,Left lateraloccipital 1
B-SNIP,control_schizophrenia,1.9491910349455543,1.0442758720559833,Left lateraloccipital 2
B-SNIP,control_schizophrenia,2.1310395975473595,0.9316522076893067,Left lateraloccipital 3
B-SNIP,control_schizophrenia,2.485338240744962,0.8746814818511366,Left lateraloccipital 4
B-SNIP,control_schizophrenia,2.346400321320852,0.8822234557965712,Left lateraloccipital 5
B-SNIP,control_schizophrenia,2.761665660554068,0.9519196710162032,Left lateralorbitofrontal 1
B-SNIP,control_schizophrenia,2.83970314728349,0.941200831325569,Left lateralorbitofrontal 2
B-SNIP,control_schizophrenia,2.5437574030776493,0.9165180159840284,Left lateralorbitofrontal 3
B-SNIP,control_schizophrenia,2.7075588178546117,0.8587551071932724,Left lateralorbitofrontal 4
