dataset,dx,mean,std,roi
ADNI1,control_alzheimer,2.7350268764293566,0.8879624424147816,Left bankssts 1
ADNI1,control_alzheimer,2.384673877938518,0.9630769898870781,Left caudalanteriorcingulate 1
ADNI1,control_alzheimer,2.695384023416545,0.8953788142780128,Left caudalmiddlefrontal 1
ADNI1,control_alzheimer,1.829742520591022,0.8934596374539968,Left cuneus 1
ADNI1,control_alzheimer,3.5778425728714436,0.7580423242472099,Left entorhinal 1
ADNI1,control_alzheimer,2.676240203417587,0.9346898203987211,Left fusiform 1
ADNI1,control_alzheimer,3.0512423740389027,0.8121374369298031,Left fusiform 2
ADNI1,control_alzheimer,2.5255381661945124,0.9563381222511854,Left inferiorparietal 1
ADNI1,control_alzheimer,2.6752982885408843,0.9018427032444607,Left inferiorparietal 2
ADNI1,control_alzheimer,3.125514977838278,0.7042247675719574,Left inferiortemporal 1
ADNI1,control_alzheimer,2.85720613251922,0.7891325215174377,Left inferiortemporal 2
ADNI1,control_alzheimer,2.6561887861764695,0.8808131682388961,Left isthmuscingulate 1
ADNI1,control_alzheimer,1.9870379015835888,0.8397661632848772,Left lateraloccipital 1
ADNI1,control_alzheimer,2.288498624916747,0.8725872285922975,Left lateraloccipital 2
ADNI1,control_alzheimer,2.7495608119813246,0.9047481954312133,Left lateralorbitofrontal 1
ADNI1,control_alzheimer,2.610778173557795,0.9063432654513758,Left lateralorbitofrontal 2
ADNI1,control_alzheimer,1.952352081224002,0.8120356230252374,Left lingual 1
ADNI1,control_alzheimer,2.0048422292103982,0.913337324705927,Left lingual 2
ADNI1,control_alzheimer,2.509773464396244,0.7778619738326698,Left medialorbitofrontal 1
ADNI1,control_alzheimer,2.9018714566271333,0.8515879648960407,Left middletemporal 1
ADNI1,control_alzheimer,3.2375140434746896,0.6796248667046346,Left middletemporal 2
ADNI1,control_alzheimer,3.0811201176599687,0.9964123026934101,Left parahippocampal 1
ADNI1,control_alzheimer,2.385297348402104,0.9437541557670138,Left paracentral 1
ADNI1,control_alzheimer,2.5608568455470078,0.9994478133060135,Left parsopercularis 1
ADNI1,control_alzheimer,2.755874102710213,0.8988313966790518,Left parsorbitalis 1
ADNI1,control_alzheimer,2.4972179941635453,0.9905176103383345,Left parstriangularis 1
ADNI1,control_alzheimer,1.5999454297301428,0.7177606182059931,Left pericalcarine 1
ADNI1,control_alzheimer,1.8270751670633425,1.0506781376340388,Left postcentral 1
ADNI1,control_alzheimer,2.0112739776042523,1.0953805252428692,Left postcentral 2
ADNI1,control_alzheimer,2.2637136863923475,1.0203356815793818,Left postcentral 3
ADNI1,control_alzheimer,2.5020406309560093,0.7430888434298495,Left posteriorcingulate 1
ADNI1,control_alzheimer,2.338935916872999,1.0407580068402615,Left precentral 1
ADNI1,control_alzheimer,2.3350390664650025,1.02522730691456,Left precentral 2
ADNI1,control_alzheimer,2.437279538863327,0.8999787679276986,Left precentral 3
ADNI1,control_alzheimer,2.605446104951059,0.9100645505988765,Left precentral 4
ADNI1,control_alzheimer,2.4382751473404705,1.0115328927417455,Left precuneus 1
ADNI1,control_alzheimer,2.523433049190418,0.8381028182198423,Left precuneus 2
ADNI1,control_alzheimer,2.7750298451075266,0.8672708705922701,Left rostralanteriorcingulate 1
ADNI1,control_alzheimer,2.5520961426490816,0.8962390736409814,Left rostralmiddlefrontal 1
ADNI1,control_alzheimer,2.5437154184812067,0.8853277866693575,Left rostralmiddlefrontal 2
ADNI1,control_alzheimer,2.4948221757966005,0.911100977627524,Left rostralmiddlefrontal 3
ADNI1,control_alzheimer,2.797895922786338,0.7907637433802839,Left superiorfrontal 1
ADNI1,control_alzheimer,2.894727019946809,0.833867797153837,Left superiorfrontal 2
ADNI1,control_alzheimer,2.7259472373122224,0.8895419361263034,Left superiorfrontal 3
ADNI1,control_alzheimer,2.6636559570009153,0.8586043236064442,Left superiorfrontal 4
ADNI1,control_alzheimer,2.297131576078662,1.0159056552648777,Left superiorparietal 1
ADNI1,control_alzheimer,2.3691072755466656,0.9838375463445653,Left superiorparietal 2
ADNI1,control_alzheimer,2.249674999119257,0.9476857418441545,Left superiorparietal 3
ADNI1,control_alzheimer,2.6961433485593065,0.923967664490322,Left superiortemporal 1
ADNI1,control_alzheimer,2.975068260161705,0.8202839057761291,Left superiortemporal 2
ADNI1,control_alzheimer,2.6262764197366497,0.9911311720069305,Left supramarginal 1
ADNI1,control_alzheimer,2.711423769900216,0.8960443017318139,Left supramarginal 2
ADNI1,control_alzheimer,2.728898491980479,0.90001970231932,Left frontalpole 1
ADNI1,control_alzheimer,3.6525335041111013,0.7691022673677623,Left temporalpole 1
ADNI1,control_alzheimer,2.328415448900446,1.0235242863170202,Left transversetemporal 1
ADNI1,control_alzheimer,2.8833373167343734,0.8323231583762052,Left insula 1
ADNI1,control_alzheimer,3.096579640387616,0.7653838107111036,Left insula 2
ADNI1,control_alzheimer,2.7632077175819267,0.9133253931016582,Right bankssts 1
ADNI1,control_alzheimer,2.2781423945058115,1.0193781630255692,Right caudalanteriorcingulate 1
ADNI1,control_alzheimer,2.6810191290511516,0.9311999578800056,Right caudalmiddlefrontal 1
ADNI1,control_alzheimer,1.9078735253674697,0.8690173724618052,Right cuneus 1
ADNI1,control_alzheimer,3.611612562472885,0.6967506665619196,Right entorhinal 1
ADNI1,control_alzheimer,2.7210706645880687,0.8352663801121832,Right fusiform 1
