dataset,dx,mean,std,roi
B-SNIP,control_schizophrenia,2.552652314629163,0.8804846765934228,Left bankssts
B-SNIP,control_schizophrenia,2.4774259861490826,0.9690929813976805,Left caudalanteriorcingulate
B-SNIP,control_schizophrenia,2.608842002007173,0.854054300668998,Left caudalmiddlefrontal
B-SNIP,control_schizophrenia,1.9524038297597064,0.9180086184899108,Left cuneus
B-SNIP,control_schizophrenia,3.182873483487419,0.9834961871902324,Left entorhinal
B-SNIP,control_schizophrenia,2.7904408031209322,1.1488005077941155,Left fusiform
B-SNIP,control_schizophrenia,2.51598069723268,0.8405271808675866,Left inferiorparietal
B-SNIP,control_schizophrenia,2.832472520422664,1.189230825465155,Left inferiortemporal
B-SNIP,control_schizophrenia,2.3517074967805027,0.8854859922192637,Left isthmuscingulate
B-SNIP,control_schizophrenia,2.260953971568516,0.8231614012139004,Left lateraloccipital
B-SNIP,control_schizophrenia,2.749630186445988,0.8584814061611178,Left lateralorbitofrontal
B-SNIP,control_schizophrenia,2.1165734947023074,0.8311873742433226,Left lingual
B-SNIP,control_schizophrenia,2.511382488591995,0.7745497661357047,Left medialorbitofrontal
B-SNIP,control_schizophrenia,2.9390777013480593,0.9573202561240821,Left middletemporal
B-SNIP,control_schizophrenia,2.743916046114464,0.9719911790606314,Left parahippocampal
B-SNIP,control_schizophrenia,2.497503607557539,0.9064456119057215,Left paracentral
B-SNIP,control_schizophrenia,2.7328731933564745,0.9095408288016281,Left parsopercularis
B-SNIP,control_schizophrenia,2.8016066762100884,0.9957297579255503,Left parsorbitalis
B-SNIP,control_schizophrenia,2.5777393657006082,0.9374044434983705,Left parstriangularis
B-SNIP,control_schizophrenia,1.6792017549452676,0.8553100445704784,Left pericalcarine
B-SNIP,control_schizophrenia,2.197684320223026,1.0054952686110679,Left postcentral
B-SNIP,control_schizophrenia,2.497201522799657,0.9293179043202101,Left posteriorcingulate
B-SNIP,control_schizophrenia,2.6278678720734048,0.8731596913159209,Left precentral
B-SNIP,control_schizophrenia,2.4715983982920635,0.9020085107431193,Left precuneus
B-SNIP,control_schizophrenia,2.761058438087627,0.9959728513408785,Left rostralanteriorcingulate
B-SNIP,control_schizophrenia,2.453981598676233,0.8996654038919998,Left rostralmiddlefrontal
B-SNIP,control_schizophrenia,2.825368804955293,0.8215138276935421,Left superiorfrontal
B-SNIP,control_schizophrenia,2.28389765628742,0.8611402760965112,Left superiorparietal
B-SNIP,control_schizophrenia,2.8991641921859124,1.0289138224238856,Left superiortemporal
B-SNIP,control_schizophrenia,2.633316054167308,0.8276593201216803,Left supramarginal
B-SNIP,control_schizophrenia,2.807275832443079,0.8897675742637681,Left frontalpole
B-SNIP,control_schizophrenia,3.5431339392474177,0.9454499168313675,Left temporalpole
B-SNIP,control_schizophrenia,2.4776181828644646,1.0439578476133438,Left transversetemporal
B-SNIP,control_schizophrenia,3.0084068444270984,1.0659533174204427,Left insula
B-SNIP,control_schizophrenia,2.6595003657124114,0.9600592285018444,Right bankssts
B-SNIP,control_schizophrenia,2.472254124521616,0.8694686193480515,Right caudalanteriorcingulate
B-SNIP,control_schizophrenia,2.643641839596327,0.8819821372197494,Right caudalmiddlefrontal
B-SNIP,control_schizophrenia,1.9708827276258243,0.8840223853602924,Right cuneus
B-SNIP,control_schizophrenia,3.2669426647766815,0.9929039153314352,Right entorhinal
B-SNIP,control_schizophrenia,2.8278504010528724,0.9727139112347576,Right fusiform
B-SNIP,control_schizophrenia,2.5335391586692957,0.8995225538597896,Right inferiorparietal
B-SNIP,control_schizophrenia,2.8655372569801143,1.0557139348828968,Right inferiortemporal
B-SNIP,control_schizophrenia,2.3423759602767027,0.9577630078501967,Right isthmuscingulate
B-SNIP,control_schizophrenia,2.2764977713479873,0.7942909634997967,Right lateraloccipital
B-SNIP,control_schizophrenia,2.7349886882905396,0.9573594321130089,Right lateralorbitofrontal
B-SNIP,control_schizophrenia,2.065177339837039,0.8291974396707074,Right lingual
B-SNIP,control_schizophrenia,2.4912809122630803,0.8981943856632206,Right medialorbitofrontal
B-SNIP,control_schizophrenia,2.930487480312594,0.9949630942663092,Right middletemporal
B-SNIP,control_schizophrenia,2.699091420002593,1.0341395554254118,Right parahippocampal
B-SNIP,control_schizophrenia,2.481042295835136,0.8697344838000673,Right paracentral
B-SNIP,control_schizophrenia,2.707857054307013,0.9184409832180838,Right parsopercularis
B-SNIP,control_schizophrenia,2.7990498846008363,0.9402957229691781,Right parsorbitalis
B-SNIP,control_schizophrenia,2.6215628545432117,0.9522691154772756,Right parstriangularis
B-SNIP,control_schizophrenia,1.6439334147258842,0.8604925613469877,Right pericalcarine
B-SNIP,control_schizophrenia,2.181932818819748,0.9481432542231982,Right postcentral
B-SNIP,control_schizophrenia,2.4926881571189083,0.8164167863909189,Right posteriorcingulate
B-SNIP,control_schizophrenia,2.569881389189562,0.8762715923443583,Right precentral
