dataset,dx,mean,std,roi
ADNI1,control_alzheimer,2.7199900992465973,0.8888418692210658,Left bankssts
ADNI1,control_alzheimer,2.356714473796796,0.9844034910398924,Left caudalanteriorcingulate
ADNI1,control_alzheimer,2.697880412670535,0.8991607649972305,Left caudalmiddlefrontal
ADNI1,control_alzheimer,1.8146760893028202,0.8925967592785867,Left cuneus
ADNI1,control_alzheimer,3.6057328503372315,0.728760977594463,Left entorhinal
ADNI1,control_alzheimer,2.9620655539711485,0.8097997848525337,Left fusiform
ADNI1,control_alzheimer,2.634768046686427,0.908193943463367,Left inferiorparietal
ADNI1,control_alzheimer,3.070262045174029,0.6629997328735772,Left inferiortemporal
ADNI1,control_alzheimer,2.3060820394332726,0.91196903524187,Left isthmuscingulate
ADNI1,control_alzheimer,2.1992416967920128,0.8718632462851157,Left lateraloccipital
ADNI1,control_alzheimer,2.738086329579186,0.9099262933113828,Left lateralorbitofrontal
ADNI1,control_alzheimer,2.019353636572139,0.837480092138878,Left lingual
ADNI1,control_alzheimer,2.593502408818617,0.7827190593742727,Left medialorbitofrontal
ADNI1,control_alzheimer,3.1430018168201954,0.6949881226798498,Left middletemporal
ADNI1,control_alzheimer,3.0630589074574317,0.9975464569084426,Left parahippocampal
ADNI1,control_alzheimer,2.371854511060712,0.9518570796152405,Left paracentral
ADNI1,control_alzheimer,2.568616190164676,1.0019663024659886,Left parsopercularis
ADNI1,control_alzheimer,2.765459095381588,0.8912712971982442,Left parsorbitalis
ADNI1,control_alzheimer,2.503445547723202,1.0014333823661143,Left parstriangularis
ADNI1,control_alzheimer,1.6006175922309032,0.7295114976510966,Left pericalcarine
ADNI1,control_alzheimer,2.0999280315619187,1.0763167862504237,Left postcentral
ADNI1,control_alzheimer,2.389226537366191,0.9315794223292967,Left posteriorcingulate
ADNI1,control_alzheimer,2.4779339058409784,0.96122147212837,Left precentral
ADNI1,control_alzheimer,2.544246116343945,0.8960708082005017,Left precuneus
ADNI1,control_alzheimer,2.7077456461438767,0.8622916504488767,Left rostralanteriorcingulate
ADNI1,control_alzheimer,2.5764498481294984,0.8563385240348732,Left rostralmiddlefrontal
ADNI1,control_alzheimer,2.807073155637513,0.8181809327312648,Left superiorfrontal
ADNI1,control_alzheimer,2.3504119563692036,0.9433973767127373,Left superiorparietal
ADNI1,control_alzheimer,2.9531926000655138,0.8079742267000287,Left superiortemporal
ADNI1,control_alzheimer,2.712377143097778,0.9281383016528086,Left supramarginal
ADNI1,control_alzheimer,2.7343865386789132,0.899393198404908,Left frontalpole
ADNI1,control_alzheimer,3.697594941844006,0.7479928597623473,Left temporalpole
ADNI1,control_alzheimer,2.3492369409717337,1.0076063309806018,Left transversetemporal
ADNI1,control_alzheimer,2.9958824587353177,0.7698910249034505,Left insula
ADNI1,control_alzheimer,2.7344702434840777,0.9077382015841969,Right bankssts
ADNI1,control_alzheimer,2.259802628930406,0.9628137943280132,Right caudalanteriorcingulate
ADNI1,control_alzheimer,2.691425780397213,0.9286854859898722,Right caudalmiddlefrontal
ADNI1,control_alzheimer,1.904324480411566,0.864755778378281,Right cuneus
ADNI1,control_alzheimer,3.645179443441152,0.7182985072675007,Right entorhinal
ADNI1,control_alzheimer,3.0177683590118463,0.8118244417184738,Right fusiform
ADNI1,control_alzheimer,2.72419477690567,0.820146667131607,Right inferiorparietal
ADNI1,control_alzheimer,3.030827535019739,0.7689105392268686,Right inferiortemporal
ADNI1,control_alzheimer,2.3383889465514103,0.8888603550935924,Right isthmuscingulate
ADNI1,control_alzheimer,2.29856291752239,0.8306071648431419,Right lateraloccipital
ADNI1,control_alzheimer,2.7134057796175712,0.8044067679766077,Right lateralorbitofrontal
ADNI1,control_alzheimer,2.051390388019364,0.7837383518967721,Right lingual
ADNI1,control_alzheimer,2.6020473406417644,0.8020716967608224,Right medialorbitofrontal
ADNI1,control_alzheimer,3.1164908292248836,0.8134348352831503,Right middletemporal
ADNI1,control_alzheimer,2.8848497865125835,0.8704304754378575,Right parahippocampal
ADNI1,control_alzheimer,2.358499323057644,0.9255831186219143,Right paracentral
ADNI1,control_alzheimer,2.600893218538567,0.9767678320708788,Right parsopercularis
ADNI1,control_alzheimer,2.7209676581958115,0.9214137542842553,Right parsorbitalis
ADNI1,control_alzheimer,2.505204419013189,0.9103053204350513,Right parstriangularis
ADNI1,control_alzheimer,1.586226150398177,0.630090542634877,Right pericalcarine
ADNI1,control_alzheimer,2.0961042227359163,1.0220851571194698,Right postcentral
ADNI1,control_alzheimer,2.4480723837172804,0.9134986050385342,Right posteriorcingulate
ADNI1,control_alzheimer,2.4455734686044064,0.947621933893278,Right precentral
ADNI1,control_alzheimer,2.585699335039949,0.8753144068920911,Right precuneus
ADNI1,control_alzheimer,2.6706842676651306,0.8912648765377124,Right rostralanteriorcingulate
ADNI1,control_alzheimer,2.5659877950013112,0.8725773634401944,Right rostralmiddlefrontal
ADNI1,control_alzheimer,2.855525194500662,0.8735695295268725,Right superiorfrontal
ADNI1,control_alzheimer,2.3468648985351828,0.9070338074079107,Right superiorparietal
ADNI1,control_alzheimer,2.9758995470661187,0.8995804467623462,Right superiortemporal
ADNI1,control_alzheimer,2.671893060429201,0.8892822832132605,Right supramarginal
ADNI1,control_alzheimer,2.7287705691166497,0.8076791048752527,Right frontalpole
ADNI1,control_alzheimer,3.813111488236097,0.7686289676059919,Right temporalpole
ADNI1,control_alzheimer,2.298090045122147,1.0170501423822766,Right transversetemporal
ADNI1,control_alzheimer,3.0339736759872395,0.8058874744302881,Right insula
ADNI1,alzheimer,2.0820281593084498,1.0806070972343085,Left bankssts
ADNI1,alzheimer,2.362312654524824,1.1249320845170878,Left caudalanteriorcingulate
ADNI1,alzheimer,2.157030754976103,1.0091242541881607,Left caudalmiddlefrontal
ADNI1,alzheimer,1.7755943110084194,0.9684623975273767,Left cuneus
ADNI1,alzheimer,2.6680712039875916,1.1014759241708858,Left entorhinal
ADNI1,alzheimer,2.296416855609458,1.0766517477415714,Left fusiform
ADNI1,alzheimer,2.023702542458491,1.1588455447895427,Left inferiorparietal
ADNI1,alzheimer,2.3451625643216563,1.0305746502118842,Left inferiortemporal
ADNI1,alzheimer,2.031418194740217,0.9831241234011838,Left isthmuscingulate
ADNI1,alzheimer,1.9694591718767473,0.9461479293523257,Left lateraloccipital
ADNI1,alzheimer,2.3867254546535004,1.0229373694311772,Left lateralorbitofrontal
ADNI1,alzheimer,1.8133532879411507,0.8687705995793027,Left lingual
ADNI1,alzheimer,2.156017064362745,0.9667192264051777,Left medialorbitofrontal
ADNI1,alzheimer,2.290752546476843,1.075107424691327,Left middletemporal
ADNI1,alzheimer,2.31175546631062,1.1014516433945551,Left parahippocampal
ADNI1,alzheimer,2.090859768257949,0.9973063016464004,Left paracentral
ADNI1,alzheimer,2.2881542172964706,1.0299705121735192,Left parsopercularis
